Designator,Mid X,Mid Y,Rotation,Layer
"C1",87.658000,-65.024000,180.000000,T
"C2",88.468200,-78.232000,-90.000000,T
"C3",93.091000,-69.951600,0.000000,T
"C4",92.710000,-73.812400,-90.000000,T
"C5",82.550000,-74.066400,180.000000,T
"C6",82.651600,-69.494400,180.000000,T
"C7",93.091000,-68.884800,0.000000,T
"C8",89.916000,-78.232000,90.000000,T
"C9",85.344000,-65.024000,180.000000,T
"C10",91.722000,-66.576000,0.000000,T
"C11",91.722000,-67.668200,0.000000,T
"C12",86.614000,-81.534000,180.000000,T
"C13",89.662000,-81.534000,0.000000,T
"C14",106.680000,-60.452000,0.000000,T
"C15",101.346000,-70.104000,-90.000000,T
"C16",73.914000,-45.974000,0.000000,T
"D1",112.445800,-51.231800,0.000000,T
"D2",96.748600,-51.130200,180.000000,T
"D3",69.291200,-70.434200,0.000000,T
"D4",58.572400,-70.383400,180.000000,T
"D5",112.369600,-87.503000,0.000000,T
"D6",96.647000,-87.503000,180.000000,T
"D7",77.546200,-87.249000,180.000000,T
"D8",58.521600,-87.223600,180.000000,T
"D9",112.369600,-106.603800,0.000000,T
"D10",96.545400,-106.603800,180.000000,T
"D11",74.320400,-106.603800,0.000000,T
"D12",58.547000,-106.527600,180.000000,T
"J1",87.350000,-47.726600,180.000000,T
"R1",89.174000,-65.073000,90.000000,T
"R2",90.424000,-65.073000,90.000000,T
"R3",91.666600,-77.089000,180.000000,T
"R4",90.119200,-53.492400,0.000000,T
"R5",84.785200,-53.492400,180.000000,T
"R7",56.159400,-49.403000,0.000000,T
"SW13",56.388000,-45.661600,180.000000,T
"U1",87.950000,-72.348000,0.000000,T
"U2",106.426000,-66.040000,-90.000000,T
"U3",70.200000,-49.300000,0.000000,T
"Y1",88.138000,-87.884000,0.000000,T
